                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.82906,                0.45091,                 0.9845,                0.97971,                0.97285,                0.98935,                0.82759,                0.59924,                0.34282,                0.85476,              0.0004654,              0.0004654,              0.0004654
                     56,                0.83382,                0.45413,                0.98515,                 0.9877,                0.98987,                0.99328,                0.82546,                0.58976,                0.32978,                0.84968,              0.0004555,              0.0004555,              0.0004555
                     57,                0.83958,                0.45497,                0.98819,                0.98198,                 0.9457,                 0.9827,                 0.8163,                0.60699,                0.33955,                0.85973,              0.0004456,              0.0004456,              0.0004456
                     58,                0.82498,                0.44346,                0.98829,                0.95568,                0.96134,                0.98221,                 0.8288,                 0.6082,                 0.3396,                0.86061,              0.0004357,              0.0004357,              0.0004357
                     59,                 0.8136,                0.44161,                0.97608,                0.93613,                0.97487,                0.97799,                0.78955,                0.59127,                0.34264,                0.85525,              0.0004258,              0.0004258,              0.0004258
                     60,                0.80783,                0.44467,                0.98729,                0.97962,                 0.9475,                0.97979,                0.81917,                0.58639,                0.33933,                0.85159,              0.0004159,              0.0004159,              0.0004159
                     61,                0.79196,                 0.4384,                0.97606,                0.98212,                0.97436,                0.98722,                0.81383,                0.59647,                0.34035,                0.85275,               0.000406,               0.000406,               0.000406
                     62,                0.79931,                 0.4389,                0.98462,                0.97891,                0.97213,                0.99146,                0.83042,                0.57946,                0.33247,                0.84696,              0.0003961,              0.0003961,              0.0003961
                     63,                0.78232,                0.43049,                  0.967,                0.96383,                0.98553,                0.98952,                0.83466,                0.57846,                 0.3283,                0.84629,              0.0003862,              0.0003862,              0.0003862
                     64,                0.80391,                0.43419,                0.97556,                0.96062,                0.97538,                0.98775,                 0.8246,                0.59124,                0.32543,                0.85058,              0.0003763,              0.0003763,              0.0003763
                     65,                0.78888,                0.42737,                0.97565,                0.94188,                0.98978,                0.98766,                0.82167,                0.59694,                0.32875,                0.85259,              0.0003664,              0.0003664,              0.0003664
                     66,                0.78711,                0.42549,                0.96604,                0.94605,                0.99159,                0.98744,                0.82179,                0.55414,                0.31579,                0.84269,              0.0003565,              0.0003565,              0.0003565
                     67,                0.76667,                0.42484,                0.95918,                 0.9846,                0.97221,                 0.9918,                0.83307,                0.54996,                0.31317,                0.83746,              0.0003466,              0.0003466,              0.0003466
                     68,                0.80189,                0.43015,                0.97416,                0.97729,                0.97299,                0.98726,                0.83775,                0.54743,                 0.3144,                0.83746,              0.0003367,              0.0003367,              0.0003367
                     69,                0.78307,                0.42165,                0.97167,                0.97611,                0.97869,                0.99306,                0.81771,                 0.5611,                 0.3142,                0.84126,              0.0003268,              0.0003268,              0.0003268
                     70,                0.77002,                0.41644,                0.96881,                0.98233,                0.97474,                 0.9907,                 0.8246,                0.55396,                0.30782,                0.83873,              0.0003169,              0.0003169,              0.0003169
                     71,                0.77419,                0.41415,                0.97639,                0.98239,                 0.9742,                0.98858,                0.83776,                 0.5441,                0.30487,                0.84019,               0.000307,               0.000307,               0.000307
                     72,                0.75974,                0.41463,                0.95685,                0.95693,                0.97379,                0.98502,                0.84546,                0.56076,                0.30739,                0.84152,              0.0002971,              0.0002971,              0.0002971
                     73,                0.75527,                 0.4137,                 0.9606,                0.98689,                0.97004,                 0.9914,                0.83655,                 0.5539,                 0.3136,                0.84227,              0.0002872,              0.0002872,              0.0002872
                     74,                0.76052,                0.41267,                0.97159,                0.98258,                0.97617,                0.98959,                0.83601,                0.55838,                0.30957,                0.84568,              0.0002773,              0.0002773,              0.0002773
                     75,                0.76665,                0.41852,                0.96264,                0.96019,                0.94628,                0.98429,                0.82168,                0.56033,                0.31671,                 0.8471,              0.0002674,              0.0002674,              0.0002674
                     76,                0.75684,                0.41381,                0.95937,                0.95973,                0.98867,                0.98941,                0.82365,                0.55379,                0.30632,                0.84307,              0.0002575,              0.0002575,              0.0002575
                     77,                0.74465,                0.40984,                0.96057,                0.97922,                0.97503,                0.98995,                0.83791,                0.55033,                0.30156,                0.84341,              0.0002476,              0.0002476,              0.0002476
                     78,                0.74378,                0.40287,                0.95152,                0.97588,                0.97393,                0.98815,                 0.8154,                0.55005,                0.30014,                0.84032,              0.0002377,              0.0002377,              0.0002377
                     79,                0.72315,                0.40063,                0.95283,                0.98396,                 0.9687,                0.99156,                 0.8382,                0.55123,                0.29953,                0.84209,              0.0002278,              0.0002278,              0.0002278
                     80,                0.70672,                0.38962,                0.94044,                   0.98,                0.94978,                0.98236,                0.82474,                0.55446,                0.29926,                0.84321,              0.0002179,              0.0002179,              0.0002179
                     81,                0.71719,                0.39227,                0.93998,                0.97221,                0.94551,                0.98296,                0.81223,                0.55646,                0.30247,                0.84291,               0.000208,               0.000208,               0.000208
                     82,                0.70366,                0.38903,                0.93999,                0.97622,                0.96743,                0.98898,                 0.8245,                0.55681,                0.30108,                0.84223,              0.0001981,              0.0001981,              0.0001981
                     83,                0.71469,                0.38867,                0.94508,                0.97793,                0.97036,                0.98246,                0.82307,                0.54778,                 0.2941,                0.84007,              0.0001882,              0.0001882,              0.0001882
                     84,                 0.7319,                0.39838,                0.94532,                0.96538,                0.97312,                0.98429,                0.82083,                 0.5564,                0.30262,                 0.8442,              0.0001783,              0.0001783,              0.0001783
                     85,                0.70053,                0.38514,                0.94026,                0.98192,                 0.9442,                 0.9835,                0.83252,                0.54189,                0.29616,                0.84007,              0.0001684,              0.0001684,              0.0001684
                     86,                0.70735,                0.38944,                0.93666,                0.97932,                0.94245,                0.98506,                0.83994,                0.53692,                0.28894,                0.84108,              0.0001585,              0.0001585,              0.0001585
                     87,                0.70852,                 0.3889,                0.93865,                0.98831,                0.98832,                0.99311,                 0.8378,                0.55112,                0.29577,                0.84276,              0.0001486,              0.0001486,              0.0001486
                     88,                0.68912,                0.38218,                0.94142,                0.99007,                0.98764,                0.99373,                0.83351,                0.54055,                0.29236,                0.83986,              0.0001387,              0.0001387,              0.0001387
                     89,                 0.6807,                0.37724,                 0.9311,                 0.9806,                0.97529,                0.99162,                0.84525,                0.53938,                0.29452,                0.83867,              0.0001288,              0.0001288,              0.0001288
                     90,                0.68913,                0.38123,                0.93671,                0.98871,                0.98435,                0.99335,                0.85387,                0.53155,                0.28797,                0.83756,              0.0001189,              0.0001189,              0.0001189
                     91,                0.70537,                0.37454,                0.94905,                0.98998,                0.98542,                0.99298,                0.83712,                0.54093,                0.28942,                0.83748,               0.000109,               0.000109,               0.000109
                     92,                0.67592,                0.35432,                0.92413,                0.98695,                0.98611,                0.99326,                0.83663,                0.53617,                0.28597,                0.83547,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.67281,                 0.3515,                 0.9317,                0.98219,                0.94981,                0.98405,                0.84364,                0.53329,                0.28682,                0.83553,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.65337,                0.34525,                0.92202,                0.98127,                0.94839,                 0.9865,                0.83216,                 0.5328,                0.28459,                 0.8355,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.65781,                0.34687,                0.92817,                0.98216,                0.94887,                0.98669,                0.84272,                0.52419,                 0.2826,                0.83447,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.63592,                0.34318,                 0.9058,                0.98556,                0.94863,                 0.9866,                0.84474,                0.53163,                0.28618,                 0.8356,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.64082,                0.33956,                0.91601,                0.98486,                0.94865,                0.98407,                0.84396,                0.52841,                 0.2815,                0.83639,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.63044,                0.33588,                0.90949,                  0.984,                0.94986,                0.98414,                0.84136,                0.53119,                0.28359,                0.83686,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.63161,                0.33745,                0.92159,                0.98636,                0.94897,                0.98621,                0.84657,                0.52512,                 0.2821,                0.83555,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.63231,                0.33498,                0.91364,                0.98438,                0.94953,                0.98394,                0.84321,                0.52481,                 0.2813,                0.83608,               1.99e-05,               1.99e-05,               1.99e-05
